serial_number,ncbi_name,abundance,abundance_mean
20230210_BC19,Escherichia coli,0.0,0.008387276916365288
20230210_BC19,Clostridium perfringens,0.0,0.006515874335081068
20230210_BC19,Clostridioides difficile,0.000416146,0.0018859083674968862
20230210_BC19,Klebsiella pneumoniae,0.0,0.00019361270088545004
20230210_BC19,Serratia marcescens,0.0,3.876692743787285e-05
20230210_BC19,Fusobacterium nucleatum,0.0,7.846249941012171e-06
20230210_BC19,Clostridium botulinum,0.0,6.504552633278077e-06
20230210_BC19,Staphylococcus aureus,0.0,5.760763000071968e-06
20230210_BC19,Listeria monocytogenes,0.0,6.890592749140502e-07
20230210_BC19,Pseudomonas aeruginosa,0.0,4.330502195348088e-07
